ID	avian-swine	avian-reass	swine-reass
gene-HA	0.100954177001846	6.57926033406849e-12	8.01748110792445e-07
gene-MP	0.348824694553184	2.22028268957238e-05	0.00213246556271644
gene-NA	0.212270745049742	5.97186576740553e-07	0.000489757737948647
gene-NP	0.747208597374456	3.54006526016725e-07	4.2471673503034e-08
gene-NS1	0.152520844061653	3.78080168478992e-05	1.01231350360109e-08
gene-PA	0.00382774214648888	7.00267372534659e-29	4.17653957131421e-15
gene-PB1	0.338739289920098	5.91885247475447e-27	1.66084163302388e-21
gene-PB2	0.130443705282396	4.65529765090501e-12	2.45246511555579e-18
