ID	avian-reass	avian-swine	swine-reass
gene-HA	0.00259614007719968	0.309888966019547	0.0686802434896357
gene-MP	6.8545854324073e-09	4.89871015883998e-08	0.846240938695602
gene-NA	0.00591610079086149	0.309888966019547	0.13088012389756
gene-NP	0.582750364810582	1.71305160581394e-08	2.16572115609146e-07
gene-NS1	0.00591610079086149	1.04025295909397e-05	0.13088012389756
gene-PA	6.69615566928841e-12	0.790181536715012	9.28910652808499e-13
gene-PB1	6.36462439834012e-09	2.01442798310033e-08	0.850002853752096
gene-PB2	0.0827109969964353	0.0994679706459179	0.000667695005318295
