ID	avian-swine	avian-reass	swine-reass
gene-HA	0.536853099342684	0.65988467253785	0.937883421087987
gene-MP	0.0022405902572423	0.000645715630006204	0.701575166362551
gene-NA	0.206492292910578	0.0601509897806445	0.558076091481176
gene-NP	0.506704388492157	0.253993315633565	0.0595151965753158
gene-NS1	0.0608326482159929	0.0546763299039148	0.887585900253705
gene-PA	0.262051164106875	0.928650383493769	0.251561566354317
gene-PB1	0.0499191140017849	0.014112043639615	0.617904672547454
gene-PB2	0.198575949997419	0.382653296003499	0.828032688786118
